Employee ID,Gender,Age,ServiceYear,Education,MarrigeStatus,Nationality,Department,EmploymentStatus
10447982,F,27.43,1.22,Master,Unmarried,China,20069371,0
10450280,F,33.52,1.15,Bachelor,Unmarried,China,20069371,0
10454308,M,36.17,1.02,Bachelor,Unmarried,China,20069371,0
10459410,F,33.47,0.84,Bachelor,Married,China,20069371,0
10460346,F,26.04,0.82,Bachelor,Married,China,20069371,0
10461587,F,33.51,0.73,Bachelor,Unmarried,China,20069371,0
10462104,F,26.05,0.79,Bachelor,Unmarried,China,20069371,0
10462673,F,37.13,0.71,Bachelor,Unmarried,China,20069371,0
10465602,F,27.42,0.59,Bachelor,Unmarried,China,20069371,0
10465812,F,33.14,0.60,Bachelor,Unmarried,China,20069371,0
10468109,F,28.41,0.55,Bachelor,Unmarried,China,20069371,0
10471621,F,32.57,0.42,Bachelor,Unmarried,China,20069371,0
10471622,F,28.83,0.38,Bachelor,Married,China,20069371,0
10471633,F,27.06,0.34,Bachelor,Unmarried,China,20069371,0
10414150,M,33.17,2.74,Master,Unmarried,Malaysia,20069371,0
10480257,M,24.47,0.07,Bachelor,Unmarried,Malaysia,20069371,0
10452169,F,26.56,1.05,Master,Unmarried,China,20069371,0
10452281,F,30.15,1.07,Bachelor,Unmarried,Malaysia,20069371,0
10441759,M,28.94,1.49,Master,Married,Malaysia,20069371,0
10446285,M,25.28,1.30,Bachelor,Unmarried,Malaysia,20069371,0
10446370,F,28.00,1.30,Bachelor,Unmarried,Malaysia,20069371,0
10465965,F,29.15,0.63,Bachelor,Unmarried,Malaysia,20069371,0
10465967,F,26.08,0.63,Master,Unmarried,Malaysia,20069371,0
10465968,M,25.85,0.63,Bachelor,Unmarried,Malaysia,20069371,0
10472170,F,23.03,0.38,Bachelor,Married,Malaysia,20069371,0
10417342,M,30.25,2.66,Master,Married,Australia,20069371,0
10451920,M,37.82,1.05,Bachelor,Unmarried,Australia,20069371,0
10456205,M,35.95,0.82,Bachelor,Unmarried,Japan,20069371,0
10452154,F,30.81,0.46,Bachelor,Unmarried,China,20069371,1
10432344,F,30.77,1.29,Bachelor,Married,China,20069371,1
10412852,F,33.21,1.37,Bachelor,Unmarried,China,20069371,1
10474237,F,30.60,0.24,Master,Unmarried,Malaysia,20069371,0
10478759,M,30.42,0.13,Master,Unmarried,Malaysia,20069371,0
00284992,M,39.72,7.05,Bachelor,Unmarried,Australia,20069371,0
